nuts_name,nuts_code,unit_of_assessment_name,4*_fte,3*_fte,2*_fte,1*_fte,unclassified_fte,total_fte
Kent,UKJ4,History,9.177999999999999,21.202,14.426,0.5940000000000001,0.0,45.400000000000006
Lancashire,UKD4,History,7.3225999999999996,16.1384,11.735599999999998,1.3234000000000001,0.0,36.519999999999996
"Leicestershire, Rutland and Northamptonshire",UKF2,History,11.636,23.855999999999998,11.46,0.6479999999999999,0.0,47.6
Lincolnshire,UKF3,History,2.71,4.37,5.92,0.9099999999999999,0.09,14.0
Merseyside,UKD7,History,8.664,16.622,12.969999999999999,2.344,0.0,40.6
North Eastern Scotland,UKM5,History,6.24,10.56,6.96,0.24,0.0,24.0
North Yorkshire,UKE2,History,14.49,16.215,3.795,0.0,0.0,34.5
Northern Ireland,UKN0,History,11.4245,23.1575,10.219,1.2489999999999999,0.0,46.050000000000004
Northumberland and Tyne and Wear,UKC2,History,9.62,20.358,15.923,1.999,0.0,47.900000000000006
Outer London - East and North East,UKI5,History,0.268,2.278,2.8810000000000002,1.273,0.0,6.7
Outer London - West and North West,UKI7,History,0.48,0.88,1.84,0.64,0.16,4.0
Shropshire and Staffordshire,UKG2,History,2.667,7.746999999999999,2.286,0.0,0.0,12.699999999999998
South Yorkshire,UKE3,History,15.952499999999999,17.7045,8.0685,0.5745,0.15,42.449999999999996
"Surrey, East and West Sussex",UKJ2,History,18.165,24.616,16.023,0.673,0.32299999999999995,59.800000000000004
Tees Valley and Durham,UKC1,History,12.26,18.855,7.66,0.725,0.0,39.50000000000001
West Central Scotland,UKM8,History,24.072,31.54,14.7,1.888,0.0,72.2
West Midlands,UKG3,History,35.765,37.278,17.241,1.416,0.0,91.7
West Wales and The Valleys,UKL1,History,8.638,32.07,14.388,0.356,0.14800000000000002,55.6
West Yorkshire,UKE4,History,13.435500000000001,22.026999999999997,11.9105,0.577,0.0,47.949999999999996
Bedfordshire and Hertfordshire,UKH2,Business and Management Studies,14.336100000000002,23.863300000000002,26.236400000000003,4.1922,0.282,68.91
"Berkshire, Buckinghamshire and Oxfordshire",UKJ1,Business and Management Studies,40.4434,56.056900000000006,26.070899999999998,3.2588,0.0,125.83
Cheshire,UKD6,Business and Management Studies,0.18,0.18,2.52,3.12,0.0,6.0
Cumbria,UKD1,Business and Management Studies,0.33599999999999997,0.84,1.204,0.308,0.11199999999999999,2.8
Derbyshire and Nottinghamshire,UKF1,Business and Management Studies,27.726,49.262,38.182,7.59,0.44,123.2
Devon,UKK4,Business and Management Studies,11.437000000000001,40.3435,24.808999999999997,4.244,0.8165,81.65
Dorset and Somerset,UKK2,Business and Management Studies,3.28,8.2,7.585,1.435,0.0,20.499999999999996
East Anglia,UKH1,Business and Management Studies,30.57,23.331,7.691000000000001,0.63,0.778,63.0
East Wales,UKL2,Business and Management Studies,31.217999999999996,31.217999999999996,9.437999999999999,0.726,0.0,72.6
East Yorkshire and Northern Lincolnshire,UKE1,Business and Management Studies,2.625,21.4375,16.625,3.0625,0.0,43.75
Eastern Scotland,UKM7,Business and Management Studies,42.158,83.30999999999999,50.465999999999994,6.8020000000000005,0.8640000000000001,183.59999999999997
Essex,UKH3,Business and Management Studies,9.430200000000001,34.143,17.869,2.7918000000000003,0.42599999999999993,64.66
"Gloucestershire, Wiltshire and Bristol/Bath area",UKK1,Business and Management Studies,36.619,57.42,28.501,3.311,0.649,126.5
Greater Manchester,UKD3,Business and Management Studies,50.41009999999999,64.9961,40.6406,8.0542,0.42900000000000005,164.53
Hampshire and Isle of Wight,UKJ3,Business and Management Studies,14.262,37.206,20.542,3.4459999999999997,0.344,75.8
"Herefordshire, Worcestershire and Warwickshire",UKG1,Business and Management Studies,0.0,0.7829999999999999,4.0889999999999995,3.8279999999999994,0.0,8.7
Inner London - East,UKI4,Business and Management Studies,40.218900000000005,51.3497,29.993100000000002,5.5283,0.7,127.79
Inner London - West,UKI3,Business and Management Studies,156.82659999999998,125.95899999999999,64.7747,13.096100000000002,4.8436,365.49999999999994
Kent,UKJ4,Business and Management Studies,8.226999999999999,20.783999999999995,13.423,0.866,0.0,43.3
Lancashire,UKD4,Business and Management Studies,51.320800000000006,51.277699999999996,25.0768,4.930899999999999,1.2238,133.83
"Leicestershire, Rutland and Northamptonshire",UKF2,Business and Management Studies,26.336,70.21499999999999,47.297,9.043999999999999,0.7080000000000001,153.6
Lincolnshire,UKF3,Business and Management Studies,1.222,3.8540000000000005,4.136,0.188,0.0,9.4
Merseyside,UKD7,Business and Management Studies,9.4815,23.477999999999998,11.2875,0.903,0.0,45.15
North Eastern Scotland,UKM5,Business and Management Studies,5.227,7.587000000000001,6.706,0.542,0.138,20.200000000000003
North Yorkshire,UKE2,Business and Management Studies,5.221,10.735,8.956,2.8579999999999997,1.43,29.2
Northern Ireland,UKN0,Business and Management Studies,18.1293,35.5817,20.9411,1.8539,0.22399999999999998,76.72999999999999
Northumberland and Tyne and Wear,UKC2,Business and Management Studies,13.478000000000002,31.688,37.442,4.752000000000001,0.54,87.9
Outer London - East and North East,UKI5,Business and Management Studies,2.009,9.184,11.48,4.879,1.148,28.7
Outer London - South,UKI6,Business and Management Studies,4.731,11.703,6.9719999999999995,1.245,0.249,24.9
Outer London - West and North West,UKI7,Business and Management Studies,14.111500000000001,44.18600000000001,33.146,7.6979999999999995,1.8085,100.94999999999999
Shropshire and Staffordshire,UKG2,Business and Management Studies,1.244,10.276,11.228,2.6690000000000005,0.183,25.599999999999998
South Yorkshire,UKE3,Business and Management Studies,11.793,19.076,8.585,1.8459999999999999,0.0,41.3
"Surrey, East and West Sussex",UKJ2,Business and Management Studies,27.8395,69.98750000000001,40.3375,4.9275,0.158,143.25
Tees Valley and Durham,UKC1,Business and Management Studies,12.5387,24.896199999999997,11.657,0.7781,0.44,50.309999999999995
West Central Scotland,UKM8,Business and Management Studies,39.9882,52.75639999999999,39.5619,5.84,0.7334999999999999,138.88
West Midlands,UKG3,Business and Management Studies,64.897,105.998,56.036,9.769,0.0,236.70000000000002
West Wales and The Valleys,UKL1,Business and Management Studies,12.398,35.598,24.3465,3.6075,0.3,76.25
West Yorkshire,UKE4,Business and Management Studies,34.0862,51.08759999999999,34.0324,8.6878,0.696,128.59
"Berkshire, Buckinghamshire and Oxfordshire",UKJ1,Economics and Econometrics,46.98400000000001,27.687,8.39,0.8390000000000001,0.0,83.9
Derbyshire and Nottinghamshire,UKF1,Economics and Econometrics,6.3,24.85,3.5,0.0,0.35,35.00000000000001
Devon,UKK4,Economics and Econometrics,3.675,13.965,4.655,2.205,0.0,24.5
East Anglia,UKH1,Economics and Econometrics,15.07,23.03,2.63,0.27,0.0,41.00000000000001
Eastern Scotland,UKM7,Economics and Econometrics,8.325,22.335,7.165,0.175,0.0,38.0
Essex,UKH3,Economics and Econometrics,10.6656,20.3313,2.3331,0.0,0.0,33.33
"Gloucestershire, Wiltshire and Bristol/Bath area",UKK1,Economics and Econometrics,8.184000000000001,8.184000000000001,2.232,0.0,0.0,18.6
Greater Manchester,UKD3,Economics and Econometrics,5.644000000000001,19.256,7.304000000000001,0.9960000000000001,0.0,33.2
Hampshire and Isle of Wight,UKJ3,Economics and Econometrics,3.488,9.156,8.502,0.436,0.218,21.8
Inner London - East,UKI4,Economics and Econometrics,6.4559999999999995,21.5095,6.848,2.2405,1.0959999999999999,38.14999999999999
Inner London - West,UKI3,Economics and Econometrics,66.3775,32.794,10.965,1.52,1.7934999999999999,113.44999999999999
Kent,UKJ4,Economics and Econometrics,0.8759999999999999,8.76,8.76,3.5039999999999996,0.0,21.9
"Leicestershire, Rutland and Northamptonshire",UKF2,Economics and Econometrics,2.6879999999999997,10.527999999999999,6.944,1.7919999999999998,0.44799999999999995,22.4
North Eastern Scotland,UKM5,Economics and Econometrics,0.5775,9.8175,7.1225,1.7325,0.0,19.25
North Yorkshire,UKE2,Economics and Econometrics,4.7719,16.842,6.1754,0.2807,0.0,28.069999999999997
Outer London - West and North West,UKI7,Economics and Econometrics,0.262,7.86,14.934,3.1439999999999997,0.0,26.199999999999996
South Yorkshire,UKE3,Economics and Econometrics,1.9370000000000003,7.152,4.619000000000001,0.0,1.192,14.900000000000002
"Surrey, East and West Sussex",UKJ2,Economics and Econometrics,11.9215,28.7115,11.036999999999999,0.462,0.318,52.45
West Central Scotland,UKM8,Economics and Econometrics,2.85,15.2,5.225,0.475,0.0,23.75
West Midlands,UKG3,Economics and Econometrics,21.14,35.494,8.924,0.242,0.0,65.8
"Berkshire, Buckinghamshire and Oxfordshire",UKJ1,"Architecture, Built Environment and Planning",21.712699999999998,29.465399999999995,14.2482,1.6637,0.0,67.09
Derbyshire and Nottinghamshire,UKF1,"Architecture, Built Environment and Planning",3.408,16.896,11.056000000000001,3.376,0.46399999999999997,35.2
Devon,UKK4,"Architecture, Built Environment and Planning",0.9064999999999999,4.7915,6.475,0.7769999999999999,0.0,12.95
East Anglia,UKH1,"Architecture, Built Environment and Planning",19.545,14.8542,3.5181000000000004,1.1727,0.0,39.089999999999996
East Wales,UKL2,"Architecture, Built Environment and Planning",15.975999999999999,18.413999999999998,6.204000000000001,1.606,0.0,42.2
Eastern Scotland,UKM7,"Architecture, Built Environment and Planning",24.97,28.181000000000004,22.738999999999997,4.973999999999999,0.736,81.60000000000001
Essex,UKH3,"Architecture, Built Environment and Planning",0.64,1.68,3.6,2.08,0.0,8.0
"Gloucestershire, Wiltshire and Bristol/Bath area",UKK1,"Architecture, Built Environment and Planning",18.982,32.03,14.615400000000001,1.6526,0.0,67.28
Greater Manchester,UKD3,"Architecture, Built Environment and Planning",13.39,30.166000000000004,20.806,5.077999999999999,1.1600000000000001,70.60000000000001
Inner London - East,UKI4,"Architecture, Built Environment and Planning",1.4,5.5680000000000005,6.636,3.596,0.0,17.2
Inner London - West,UKI3,"Architecture, Built Environment and Planning",67.60180000000001,58.992000000000004,30.7191,3.9871000000000008,0.0,161.3
Kent,UKJ4,"Architecture, Built Environment and Planning",2.9640000000000004,2.508,4.56,1.368,0.0,11.4
Lancashire,UKD4,"Architecture, Built Environment and Planning",0.29700000000000004,2.772,5.94,0.693,0.198,9.9
"Leicestershire, Rutland and Northamptonshire",UKF2,"Architecture, Built Environment and Planning",18.398000000000003,19.486,6.463000000000001,1.953,0.0,46.300000000000004
Lincolnshire,UKF3,"Architecture, Built Environment and Planning",0.31,0.992,2.914,1.984,0.0,6.2
Merseyside,UKD7,"Architecture, Built Environment and Planning",8.974,18.396,10.31,1.72,0.0,39.4
North Eastern Scotland,UKM5,"Architecture, Built Environment and Planning",5.078,7.077999999999999,7.088,5.464,0.292,25.0
Northern Ireland,UKN0,"Architecture, Built Environment and Planning",15.926,33.466,16.844,2.364,0.0,68.60000000000001
Northumberland and Tyne and Wear,UKC2,"Architecture, Built Environment and Planning",13.524,30.742,14.642,1.0919999999999999,0.0,60.0
Outer London - East and North East,UKI5,"Architecture, Built Environment and Planning",0.36,1.44,3.24,0.96,0.0,6.0
South Yorkshire,UKE3,"Architecture, Built Environment and Planning",23.04,21.412,8.024,0.532,0.192,53.199999999999996
West Central Scotland,UKM8,"Architecture, Built Environment and Planning",15.569000000000003,25.482,16.11,3.3230000000000004,0.21600000000000003,60.7
West Midlands,UKG3,"Architecture, Built Environment and Planning",1.235,4.515,8.755,2.8600000000000003,0.135,17.500000000000004
West Yorkshire,UKE4,"Architecture, Built Environment and Planning",2.715,3.9820000000000007,7.602,3.62,0.18100000000000002,18.1
Bedfordshire and Hertfordshire,UKH2,Law,0.0,1.3,2.2880000000000003,1.2480000000000002,0.364,5.2
"Berkshire, Buckinghamshire and Oxfordshire",UKJ1,Law,47.482,65.3772,29.592,1.6288,0.0,144.08
Derbyshire and Nottinghamshire,UKF1,Law,17.3661,26.6352,18.185399999999998,2.4193000000000002,0.124,64.73
Devon,UKK4,Law,3.2889999999999997,9.4185,2.2425,0.0,0.0,14.95
East Anglia,UKH1,Law,36.754,39.022,11.613999999999999,1.01,0.0,88.4
East Wales,UKL2,Law,7.92,10.56,3.52,0.0,0.0,22.0
East Yorkshire and Northern Lincolnshire,UKE1,Law,0.4875,7.9625,6.9875,0.8125,0.0,16.25
Eastern Scotland,UKM7,Law,26.032799999999998,31.7137,22.398,1.9855,0.28,82.41
Essex,UKH3,Law,6.724500000000001,16.26,13.446,1.428,0.6915,38.55
"Gloucestershire, Wiltshire and Bristol/Bath area",UKK1,Law,16.55,22.48,12.46,1.5100000000000002,0.0,53.0
Greater Manchester,UKD3,Law,8.16,23.663999999999998,8.16,0.816,0.0,40.8
Hampshire and Isle of Wight,UKJ3,Law,3.6,9.9,8.55,0.45,0.0,22.5
Inner London - East,UKI4,Law,12.356200000000001,38.645,16.2314,2.3972,0.5902000000000001,70.22
Inner London - West,UKI3,Law,88.69489999999999,82.37950000000001,35.4657,4.655899999999999,0.434,211.63
Kent,UKJ4,Law,15.696000000000002,18.748,8.72,0.436,0.0,43.6
Lancashire,UKD4,Law,9.024,26.434,15.316000000000003,3.826,0.0,54.6
"Leicestershire, Rutland and Northamptonshire",UKF2,Law,5.2136,30.734399999999997,12.136000000000001,0.8460000000000001,0.0,48.92999999999999
Lincolnshire,UKF3,Law,0.0,1.806,1.9320000000000002,0.462,0.0,4.2
Merseyside,UKD7,Law,2.2,17.57,6.82,0.41000000000000003,0.0,27.0
North Eastern Scotland,UKM5,Law,3.8699999999999997,13.985999999999999,12.402,1.9619999999999997,0.18,32.4
North Yorkshire,UKE2,Law,4.6,4.4,0.8,0.0,0.2,10.0
Northern Ireland,UKN0,Law,20.240000000000002,21.104,8.146,0.31,0.0,49.800000000000004
Northumberland and Tyne and Wear,UKC2,Law,3.351,17.851,15.050999999999998,2.447,0.0,38.7
Outer London - East and North East,UKI5,Law,0.16,1.2,2.64,3.68,0.32,8.0
Outer London - West and North West,UKI7,Law,4.657,24.127499999999998,20.3275,1.838,0.0,50.949999999999996
Shropshire and Staffordshire,UKG2,Law,4.68,7.02,5.76,0.54,0.0,18.0
South Yorkshire,UKE3,Law,8.296,13.42,2.6839999999999997,0.0,0.0,24.400000000000002
"Surrey, East and West Sussex",UKJ2,Law,4.75,19.01,12.129999999999999,3.11,0.0,39.0
Tees Valley and Durham,UKC1,Law,10.692,11.177999999999999,2.43,0.0,0.0,24.299999999999997
West Central Scotland,UKM8,Law,11.2349,25.0999,11.8811,1.5006000000000002,0.3035,50.02
West Midlands,UKG3,Law,21.719099999999997,31.4897,20.8396,5.7816,0.96,80.78999999999999
West Wales and The Valleys,UKL1,Law,4.995,20.43,16.845,1.815,0.915,44.99999999999999
West Yorkshire,UKE4,Law,11.89,13.63,2.9,0.58,0.0,29.0
"Berkshire, Buckinghamshire and Oxfordshire",UKJ1,Sociology,20.2945,30.322499999999998,19.233,0.0,0.0,69.85
Devon,UKK4,Sociology,5.566,13.068,5.324,0.242,0.0,24.2
East Anglia,UKH1,Sociology,4.2848999999999995,7.1415,4.2848999999999995,0.15869999999999998,0.0,15.869999999999997
East Wales,UKL2,Sociology,10.9076,14.4452,3.8324000000000003,0.2948,0.0,29.48
Eastern Scotland,UKM7,Sociology,20.117600000000003,29.678600000000003,12.8724,2.4714,0.0,65.14
Essex,UKH3,Sociology,18.031000000000002,18.98,9.49,0.9490000000000001,0.0,47.45
"Gloucestershire, Wiltshire and Bristol/Bath area",UKK1,Sociology,5.44,7.48,3.91,0.17,0.0,17.000000000000004
Greater Manchester,UKD3,Sociology,24.237,30.8245,14.3635,0.425,0.0,69.85
Hampshire and Isle of Wight,UKJ3,Sociology,0.0,1.33,3.43,2.1,0.14,6.999999999999999
Inner London - East,UKI4,Sociology,13.383,38.434,24.533500000000004,1.5995,0.0,77.95
Inner London - West,UKI3,Sociology,22.304499999999997,36.451,20.7905,1.0639999999999998,0.74,81.34999999999998
Lancashire,UKD4,Sociology,11.2125,12.65,4.6,0.2875,0.0,28.75
"Leicestershire, Rutland and Northamptonshire",UKF2,Sociology,1.38,4.14,5.75,0.23,0.0,11.5
North Eastern Scotland,UKM5,Sociology,1.82,7.54,3.64,0.0,0.0,13.0
North Yorkshire,UKE2,Sociology,8.2,9.2,2.4,0.2,0.0,19.999999999999996
Northern Ireland,UKN0,Sociology,2.9520000000000004,11.562000000000001,7.872000000000001,1.4760000000000002,0.7380000000000001,24.6
Northumberland and Tyne and Wear,UKC2,Sociology,4.255,9.065,4.625,0.555,0.0,18.5
Outer London - West and North West,UKI7,Sociology,1.08,6.12,4.8,0.0,0.0,12.0
"Surrey, East and West Sussex",UKJ2,Sociology,6.401,17.96,10.237,0.739,0.163,35.49999999999999
West Midlands,UKG3,Sociology,6.228000000000001,15.57,11.072000000000001,1.73,0.0,34.6
Bedfordshire and Hertfordshire,UKH2,"Sport and Exercise Sciences, Leisure and Tourism",1.746,6.207999999999999,9.894,1.3579999999999999,0.19399999999999998,19.4
"Berkshire, Buckinghamshire and Oxfordshire",UKJ1,"Sport and Exercise Sciences, Leisure and Tourism",0.0,0.7,2.6,1.3,0.4,5.0
Cheshire,UKD6,"Sport and Exercise Sciences, Leisure and Tourism",0.124,4.216,6.944,0.992,0.124,12.4
Cumbria,UKD1,"Sport and Exercise Sciences, Leisure and Tourism",0.84,0.48,3.36,1.32,0.0,6.0
Derbyshire and Nottinghamshire,UKF1,"Sport and Exercise Sciences, Leisure and Tourism",0.0,4.3554,7.942200000000001,0.5124,0.0,12.81
Devon,UKK4,"Sport and Exercise Sciences, Leisure and Tourism",7.922000000000001,12.815,2.563,0.0,0.0,23.3
Dorset and Somerset,UKK2,"Sport and Exercise Sciences, Leisure and Tourism",4.06,7.7,2.24,0.0,0.0,14.0
East Wales,UKL2,"Sport and Exercise Sciences, Leisure and Tourism",5.2,6.11,1.56,0.0,0.13,13.000000000000002
East Yorkshire and Northern Lincolnshire,UKE1,"Sport and Exercise Sciences, Leisure and Tourism",0.55,5.17,2.97,2.31,0.0,11.0
Eastern Scotland,UKM7,"Sport and Exercise Sciences, Leisure and Tourism",10.856000000000002,22.84,16.22,2.284,0.0,52.199999999999996
Essex,UKH3,"Sport and Exercise Sciences, Leisure and Tourism",1.131,3.5669999999999997,3.7409999999999997,0.26099999999999995,0.0,8.7
"Gloucestershire, Wiltshire and Bristol/Bath area",UKK1,"Sport and Exercise Sciences, Leisure and Tourism",16.512,19.616,9.768,0.7040000000000001,0.0,46.6
Hampshire and Isle of Wight,UKJ3,"Sport and Exercise Sciences, Leisure and Tourism",0.75,3.75,5.04,3.0,0.96,13.5
"Herefordshire, Worcestershire and Warwickshire",UKG1,"Sport and Exercise Sciences, Leisure and Tourism",0.56,4.48,7.0,1.68,0.28,14.0
Inner London - East,UKI4,"Sport and Exercise Sciences, Leisure and Tourism",1.504,5.3580000000000005,2.35,0.188,0.0,9.4
Inner London - West,UKI3,"Sport and Exercise Sciences, Leisure and Tourism",6.348000000000001,5.796,1.38,0.276,0.0,13.8
Kent,UKJ4,"Sport and Exercise Sciences, Leisure and Tourism",4.056,11.432,8.468,1.8440000000000003,0.0,25.8
Lancashire,UKD4,"Sport and Exercise Sciences, Leisure and Tourism",2.88,12.536000000000001,16.052,3.096,0.6359999999999999,35.2
"Leicestershire, Rutland and Northamptonshire",UKF2,"Sport and Exercise Sciences, Leisure and Tourism",29.963999999999995,25.877999999999997,10.895999999999999,1.3619999999999999,0.0,68.09999999999998
Lincolnshire,UKF3,"Sport and Exercise Sciences, Leisure and Tourism",0.84,2.59,2.73,0.84,0.0,7.0
Merseyside,UKD7,"Sport and Exercise Sciences, Leisure and Tourism",21.541500000000003,14.745999999999999,3.4469999999999996,3.4435,0.172,43.35
North Yorkshire,UKE2,"Sport and Exercise Sciences, Leisure and Tourism",0.42,1.89,3.64,1.05,0.0,7.0
Northern Ireland,UKN0,"Sport and Exercise Sciences, Leisure and Tourism",1.8479999999999999,6.731999999999999,3.5639999999999996,1.056,0.0,13.2
Northumberland and Tyne and Wear,UKC2,"Sport and Exercise Sciences, Leisure and Tourism",0.456,5.928,10.38,2.856,0.18,19.800000000000004
Outer London - West and North West,UKI7,"Sport and Exercise Sciences, Leisure and Tourism",12.047,14.425,6.455,2.784,0.289,36.0
Shropshire and Staffordshire,UKG2,"Sport and Exercise Sciences, Leisure and Tourism",1.7420000000000002,6.834,4.422,0.402,0.0,13.4
South Yorkshire,UKE3,"Sport and Exercise Sciences, Leisure and Tourism",5.44,16.0,8.0,2.24,0.32,32.0
"Surrey, East and West Sussex",UKJ2,"Sport and Exercise Sciences, Leisure and Tourism",13.528300000000002,25.429499999999997,15.068100000000001,0.2141,0.57,54.81
West Central Scotland,UKM8,"Sport and Exercise Sciences, Leisure and Tourism",1.38,1.84,3.5879999999999996,2.392,0.0,9.2
West Midlands,UKG3,"Sport and Exercise Sciences, Leisure and Tourism",19.28,16.32,9.706,2.0940000000000003,0.0,47.4
West Wales and The Valleys,UKL1,"Sport and Exercise Sciences, Leisure and Tourism",9.766,17.744,8.916,1.6640000000000001,0.11,38.2
West Yorkshire,UKE4,"Sport and Exercise Sciences, Leisure and Tourism",17.956,22.888,19.03,3.044,1.182,64.1
Bedfordshire and Hertfordshire,UKH2,"Aeronautical, Mechanical, Chemical and Manufacturing Engineering",40.742,90.88599999999998,25.072,0.0,0.0,156.7
East Anglia,UKH1,"Aeronautical, Mechanical, Chemical and Manufacturing Engineering",15.181,14.534999999999998,2.2609999999999997,0.32299999999999995,0.0,32.3
"Gloucestershire, Wiltshire and Bristol/Bath area",UKK1,"Aeronautical, Mechanical, Chemical and Manufacturing Engineering",11.59,42.7,6.71,0.0,0.0,61.00000000000001
Greater Manchester,UKD3,"Aeronautical, Mechanical, Chemical and Manufacturing Engineering",19.4526,39.9366,8.8908,0.0,0.0,68.28
Hampshire and Isle of Wight,UKJ3,"Aeronautical, Mechanical, Chemical and Manufacturing Engineering",0.18,8.82,8.1,0.9,0.0,18.0
Inner London - West,UKI3,"Aeronautical, Mechanical, Chemical and Manufacturing Engineering",91.9448,110.5912,22.154400000000003,2.2696,0.0,226.96
"Leicestershire, Rutland and Northamptonshire",UKF2,"Aeronautical, Mechanical, Chemical and Manufacturing Engineering",33.124,73.833,24.9065,2.2865,0.0,134.14999999999998
Merseyside,UKD7,"Aeronautical, Mechanical, Chemical and Manufacturing Engineering",0.26,5.59,6.89,0.26,0.0,12.999999999999998
Northern Ireland,UKN0,"Aeronautical, Mechanical, Chemical and Manufacturing Engineering",5.445,38.115,5.94,0.0,0.0,49.5
Northumberland and Tyne and Wear,UKC2,"Aeronautical, Mechanical, Chemical and Manufacturing Engineering",9.3695,28.765,14.993000000000002,2.3275,0.245,55.7
Outer London - East and North East,UKI5,"Aeronautical, Mechanical, Chemical and Manufacturing Engineering",1.53,5.13,2.34,0.0,0.0,9.0
Outer London - West and North West,UKI7,"Aeronautical, Mechanical, Chemical and Manufacturing Engineering",3.7962000000000002,39.8601,17.715600000000002,1.8981000000000001,0.0,63.27
South Yorkshire,UKE3,"Aeronautical, Mechanical, Chemical and Manufacturing Engineering",15.212000000000002,51.182,7.906000000000001,0.3,0.0,74.60000000000001
"Surrey, East and West Sussex",UKJ2,"Aeronautical, Mechanical, Chemical and Manufacturing Engineering",0.595,5.1,2.21,0.595,0.0,8.5
West Central Scotland,UKM8,"Aeronautical, Mechanical, Chemical and Manufacturing Engineering",16.128,37.632000000000005,12.767999999999999,0.672,0.0,67.2
West Midlands,UKG3,"Aeronautical, Mechanical, Chemical and Manufacturing Engineering",11.834999999999999,36.93,16.375,0.36,0.0,65.5
West Yorkshire,UKE4,"Aeronautical, Mechanical, Chemical and Manufacturing Engineering",10.977,26.109,10.928,0.168,0.168,48.349999999999994
"Berkshire, Buckinghamshire and Oxfordshire",UKJ1,Politics and International Studies,47.15700000000001,31.913500000000006,22.471500000000002,5.562,0.146,107.25000000000001
Derbyshire and Nottinghamshire,UKF1,Politics and International Studies,5.327999999999999,17.316,9.323999999999998,0.9989999999999999,0.33299999999999996,33.3
Devon,UKK4,Politics and International Studies,7.26,13.068,3.63,0.242,0.0,24.2
East Anglia,UKH1,Politics and International Studies,11.84,17.8,10.375,1.19,0.295,41.5
East Wales,UKL2,Politics and International Studies,3.3878,7.1665,1.8241999999999998,0.6515,0.0,13.03
East Yorkshire and Northern Lincolnshire,UKE1,Politics and International Studies,0.0,7.104,9.024,3.072,0.0,19.2
Eastern Scotland,UKM7,Politics and International Studies,22.8917,27.330399999999997,19.7744,3.7552000000000003,0.3283,74.08
Essex,UKH3,Politics and International Studies,20.366,5.690499999999999,3.594,0.2995,0.0,29.95
"Gloucestershire, Wiltshire and Bristol/Bath area",UKK1,Politics and International Studies,4.668,13.872,11.844,4.056,0.36,34.8
Greater Manchester,UKD3,Politics and International Studies,7.331999999999999,19.7964,8.798399999999999,0.7332,0.0,36.66
Hampshire and Isle of Wight,UKJ3,Politics and International Studies,3.7912,6.3638,2.9788,0.2708,0.1354,13.540000000000001
Inner London - East,UKI4,Politics and International Studies,4.7669999999999995,25.152,16.099999999999998,3.181,0.0,49.199999999999996
Inner London - West,UKI3,Politics and International Studies,90.82,96.31799999999998,47.103500000000004,7.4625,0.546,242.24999999999997
Kent,UKJ4,Politics and International Studies,5.0649999999999995,16.0475,17.5425,5.725,0.87,45.25
"Leicestershire, Rutland and Northamptonshire",UKF2,Politics and International Studies,1.44,8.28,7.02,1.26,0.0,18.0
Lincolnshire,UKF3,Politics and International Studies,0.21899999999999997,2.117,3.65,1.314,0.0,7.3
Merseyside,UKD7,Politics and International Studies,1.0,2.63,4.58,3.37,0.42,12.000000000000002
North Eastern Scotland,UKM5,Politics and International Studies,1.044,6.843999999999999,6.795999999999999,1.716,0.0,16.4
North Yorkshire,UKE2,Politics and International Studies,8.51,9.89,4.37,0.23,0.0,23.0
Northern Ireland,UKN0,Politics and International Studies,7.5565,18.8755,15.4845,3.8435,0.39,46.15
Northumberland and Tyne and Wear,UKC2,Politics and International Studies,2.8840000000000003,7.828,9.064,0.8240000000000001,0.0,20.6
Outer London - West and North West,UKI7,Politics and International Studies,4.522,10.71,7.6160000000000005,0.9520000000000001,0.0,23.800000000000004
Shropshire and Staffordshire,UKG2,Politics and International Studies,3.151,4.9319999999999995,4.6579999999999995,0.959,0.0,13.699999999999998
South Yorkshire,UKE3,Politics and International Studies,9.36,6.66,1.8,0.18,0.0,18.0
"Surrey, East and West Sussex",UKJ2,Politics and International Studies,10.086,26.394,14.973999999999998,4.7459999999999996,0.0,56.199999999999996
Tees Valley and Durham,UKC1,Politics and International Studies,4.96,12.648,6.2,0.992,0.0,24.8
West Central Scotland,UKM8,Politics and International Studies,8.745999999999999,23.712,10.074,0.8679999999999999,0.0,43.4
West Midlands,UKG3,Politics and International Studies,32.543,41.927099999999996,27.865000000000002,11.600899999999998,0.374,114.31
West Wales and The Valleys,UKL1,Politics and International Studies,13.526,12.886,8.28,0.708,0.0,35.4
West Yorkshire,UKE4,Politics and International Studies,8.948,15.468,9.908,2.942,0.134,37.4
Bedfordshire and Hertfordshire,UKH2,Social Work and Social Policy,4.26,6.815999999999999,2.698,0.42599999999999993,0.0,14.2
"Berkshire, Buckinghamshire and Oxfordshire",UKJ1,Social Work and Social Policy,24.436,13.88,7.312000000000001,0.37200000000000005,0.0,46.0
Cheshire,UKD6,Social Work and Social Policy,0.0,0.2,1.8,2.05,0.95,5.0
Derbyshire and Nottinghamshire,UKF1,Social Work and Social Policy,14.2472,15.015199999999998,10.604800000000001,2.3228,0.33,42.519999999999996
Devon,UKK4,Social Work and Social Policy,3.7434,9.908999999999999,7.9272,0.4404,0.0,22.02
East Anglia,UKH1,Social Work and Social Policy,4.608,4.032,0.96,0.0,0.0,9.600000000000001
East Yorkshire and Northern Lincolnshire,UKE1,Social Work and Social Policy,2.94,10.045,9.8,1.715,0.0,24.5
